Iteracao        xk           f(xk)            ak            bk           ek
   1     -0.5000000000  -8.5000000000  -1.0000000000  0.0000000000  0.0714285714
   2     -0.7500000000  31.3671875000  -1.0000000000  -0.5000000000  0.1785714286
   3     -0.6250000000  7.8208007812  -0.7500000000  -0.5000000000  0.0535714286
   4     -0.5625000000  -1.1802673340  -0.6250000000  -0.5000000000  0.0089285714
   5     -0.5937500000  3.1028842926  -0.6250000000  -0.5625000000  0.0223214286
   6     -0.5781250000  0.9079023600  -0.5937500000  -0.5625000000  0.0066964286
   7     -0.5703125000  -0.1494198665  -0.5781250000  -0.5625000000  0.0011160714
   8     -0.5742187500  0.3759177797  -0.5781250000  -0.5703125000  0.0027901786
   9     -0.5722656250  0.1124198643  -0.5742187500  -0.5703125000  0.0008370536
   10     -0.5712890625  -0.0187070532  -0.5722656250  -0.5703125000  0.0001395089
   11     -0.5717773438  0.0468046150  -0.5722656250  -0.5712890625  0.0003487723
   12     -0.5715332031  0.0140358367  -0.5717773438  -0.5712890625  0.0001046317
   13     -0.5714111328  -0.0023388439  -0.5715332031  -0.5712890625  0.0000174386
   14     -0.5714721680  0.0058476875  -0.5715332031  -0.5714111328  0.0000435965
   15     -0.5714416504  0.0017542196  -0.5714721680  -0.5714111328  0.0000130790
   16     -0.5714263916  -0.0002923627  -0.5714416504  -0.5714111328  0.0000021798
   17     -0.5714340210  0.0007309158  -0.5714416504  -0.5714263916  0.0000054496
