Iteracao        xk           f(xk)            e
   1     -0.1322314050  -22.1506366233  0.439197166470
   2     -0.2834034898  -22.2153815796  0.288025081671
   3     51.5869773981  300220779.2485265136  52.158405969536
   4     -0.2833996515  -22.2154763211  0.288028919914
   5     -0.2833958133  -22.2155710580  0.288032758173
   6     -1.1834582106  187.4284667239  0.612029639167
   7     -0.3787736754  -18.2869274984  0.192654895981
   8     -0.4503055499  -13.1910006964  0.121123021525
   9     -0.6354685325  9.5011791886  0.064039961078
   10     -0.5579410898  -1.7696655849  0.013487481668
   11     -0.5701138816  -0.1759542868  0.001314689826
   12     -0.5714578232  0.0039235049  0.000029251771
   13     -0.5714285091  -0.0000083642  0.000000062362
